title,company,salary,location,duration,link,date
Backend Developer,Code Symphony,"₹4,00,000 - ₹7,00,000 a year",Remote,Not specified,/rc/clk?jk=b09ef001bce39959&bb=t4_xc9Hyga4YPFEdrf2CttQoJltp1yPbY5q8Y_p6Bh5P0SfRS3QWTYuQEgu4cbPGosPSymm2cB_yTEugHg7JEDCdSNzCgNB3zwIcKeyhTxQ%3D&xkcb=SoCw67M3DSdI6mwHNp0AbzkdCdPP&fccid=0a6846278ec7bf82&cmp=Code-Symphony&ti=Back+End+Developer&vjs=3,Active 2 days ago
Backend Developer (Node.js),Serendipity Corporate Services,"Up to ₹20,00,000 a year",Remote,Not specified,/rc/clk?jk=86da87198d84b662&bb=t4_xc9Hyga4YPFEdrf2CtlS2yAilTrxwts91nhQe158MWFDZYQ2nVqzgCULBt--l_5e4Mz7kkOoXyeQJ0kftOZnioAwYFNOyr5rlCE3-aPk%3D&xkcb=SoA-67M3DSdI6mwHNp0HbzkdCdPP&fccid=33b7955d113d73b9&cmp=Serendipity-Corporate-Services&ti=Back+End+Developer&vjs=3,Active 4 days ago
Employment Visa Sponsorship to USA,Tp it group,,Remote,Not specified,/rc/clk?jk=583453917f0f2455&bb=t4_xc9Hyga4YPFEdrf2CtjHu-V92mlEMpe3nPouevhv2U01QhFPBd4ZZvOc7woOtjIpN3reH8LHstlpdl-agtOUYjZJ2kX1kWPiIqB9pY_g%3D&xkcb=SoCK67M3DSdI6mwHNp0GbzkdCdPP&fccid=b7426346237577a2&cmp=Tp-it-group&ti=Employment+Visa+Sponsorship+to+USA&vjs=3,Active 11 days ago
Application Developer (Entry Level),Liventus,,Remote,Not specified,/rc/clk?jk=0fe1465a09f4e5cb&bb=t4_xc9Hyga4YPFEdrf2Ctv5Zq2I9EQMdkXhnPnV3ucae1v7zhD-bC-1HAfZejnXKlEgvC7wsWTq2clG6mrt1uhOCPzaGbMDRk3hQaXsLnH4%3D&xkcb=SoAX67M3DSdI6mwHNp0FbzkdCdPP&fccid=9b2b8770d24effb2&vjs=3,Posted 15 days ago
MERN Stack Junior Developer,Centre for Advanced Practical Project Management,"From ₹4,00,000 a year",Remote,Not specified,/rc/clk?jk=57cc36d1868244ee&bb=1WleVgRJwzEjRBo9Ed8V8qcF3OpLEBQYAxwwtII9nVH0hF_qKSDy9OLZuM2TYZjgu-NOqPxOOSfAfTGpzw6letqJ2DbJo79pgx1hm5ZfK-A%3D&xkcb=SoAj67M3DSdGQOgIkL0LbzkdCdPP&fccid=7c0e204a48cf41ee&cmp=Centre-for-Advanced-Practical-Project-Management&ti=Junior+Developer&vjs=3,Active 7 days ago
Backend Developer,Npro Technologies,"₹11,352.90 - ₹19,516.36 a month",Remote,Not specified,/rc/clk?jk=e36640d69572d123&bb=1WleVgRJwzEjRBo9Ed8V8mI6b3YMmPW3RRLVvsd4zb2WdEJS3_2oeZjcpkH-kQUZXw8hGsD2cPpgfbQj-W6gGbZeeyhjFyTKTpXcwT6HDsw%3D&xkcb=SoCX67M3DSdGQOgIkL0KbzkdCdPP&fccid=d47184b6afec7f2e&cmp=Npro-Technologies&ti=Back+End+Developer&vjs=3,Posted 1 day ago
SQL Developer - Integration Specialist,Kodehash Technologies Pvt Ltd,"From ₹1,25,000 a month",Remote,Not specified,/rc/clk?jk=603b10f8c9df3ed0&bb=1WleVgRJwzEjRBo9Ed8V8p6xTdGFKxF-z0m_AYEePoHSvBV7ZDakGYjtTMYiHqQk2wwJaIEbz5HQSqTKR8sa7fkFOg6DdC9LQ3_EQ6rTtkw%3D&xkcb=SoAK67M3DSdGQOgIkL0JbzkdCdPP&fccid=a965712a62c1b4cb&cmp=Kodehash-Technologies-Pvt-Ltd&ti=SQL+Developer&vjs=3,Active 2 days ago
SQL Developer,Technology Next,"₹75,000 - ₹80,000 a month",Remote,Not specified,/rc/clk?jk=1eada957cac15fc1&bb=1WleVgRJwzEjRBo9Ed8V8lWOhYBBF9rO74RR_lBnCUO0Dzno17ZWX0g9hX_MRCdcE5JVYNItmxPrmjkHJO5vuQCcb7aVraIEVjqTysv46W0%3D&xkcb=SoC-67M3DSdGQOgIkL0IbzkdCdPP&fccid=a4680fe5f98c4dc4&cmp=Technology-Next&ti=SQL+Developer&vjs=3,Active 2 days ago
Angular Frontend Developer,Project 42 Labs,"₹15,00,000 - ₹20,00,000 a year",Remote,Not specified,/rc/clk?jk=d23e2ed36d7b32ca&bb=1WleVgRJwzEjRBo9Ed8V8vMuLIWkuwxtJ5DNlZuwB3MoovIx1gbhYtAP-PfeoT_EFHKW-OZEesjRuBNARCF1yWKH9uHrHDHdAgwDofEgpDM%3D&xkcb=SoAw67M3DSdGQOgIkL0PbzkdCdPP&fccid=1908566e513b6fb7&cmp=Project-42-Labs&ti=Front+End+Developer&vjs=3,Active 2 days ago
Backend Developer Trainee,Threeway Studio,,Remote,Not specified,/rc/clk?jk=328130025ead116a&bb=1WleVgRJwzEjRBo9Ed8V8iHGNvdvM1LxW4Td2HJc0y5-v8X79hLW5M3ZB693vLn56jCMPJiKZ3HFBKUXQ2RrGOcCCNvGetbd0Kcn8O79yxc%3D&xkcb=SoCE67M3DSdGQOgIkL0ObzkdCdPP&fccid=e2bcf991dd014339&cmp=Threeway-Studio&ti=Back+End+Developer&vjs=3,Active 2 days ago
Full-time Angular developer,Kalaakaar Makerspace,"₹40,000 - ₹45,000 a month",Remote,Not specified,/rc/clk?jk=e9ae5dcd7e93a196&bb=1WleVgRJwzEjRBo9Ed8V8kT8scN2K3Pah3UDTb1L_Y5v0sLi-v5ieHTwkkMSiNLNj4taVFMocwCkH2FS176BEVFy_axGUsulLV4uhYrFreo%3D&xkcb=SoAZ67M3DSdGQOgIkL0NbzkdCdPP&fccid=8ffa413d8dbe38ca&cmp=Kalaakaar-Makerspace&ti=Developer&vjs=3,Posted 1 day ago
React JS - FrontEnd Developer,Uplers,"₹2,32,000 a month",Remote,Not specified,/rc/clk?jk=ab164b6eea9afe73&bb=1WleVgRJwzEjRBo9Ed8V8ihh-pJBNpw46u-1rhuIEqKpg-0EmUaREdekPWRkyrLWjWoJ4NBSvl_WwCUU48sXerT4iwaSf3UoeuI-UZ4P1wg%3D&xkcb=SoCt67M3DSdGQOgIkL0MbzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Front+End+Developer&vjs=3,Posted 2 days ago
Frontend Angular Developer - WFH,Uplers,"₹1,16,666 - ₹1,66,666 a month",Remote,Not specified,/rc/clk?jk=c3ad4336a1c09693&bb=1WleVgRJwzEjRBo9Ed8V8pgMj_-xYZR24fYEizkLnB0d-Blt1Bz57KXTIL8b4Y6XM-NAOTe62BRVfQ0eaZFavWIiaeywSJ9Ni7EPTnSO3w8%3D&xkcb=SoBE67M3DSdGQOgIkL0DbzkdCdPP&fccid=0e2f08d304beb5b1&cmp=Uplers&ti=Front+End+Developer&vjs=3,Active 12 days ago
Backend Developer Spring Boot/Java (m/f/d),MSC Munich Strategy Consulting GmbH,"From ₹80,000 a month",Remote,Not specified,/rc/clk?jk=f4c4e4c5480a34a2&bb=1WleVgRJwzEjRBo9Ed8V8lWC49PraLdnoGTuEMDt7mv8VeQyTUUpRq75GouFhdG_F6gfNI_nR7E_Fto6mh4lnKYDTG4VWVe287pZqslJkwk%3D&xkcb=SoDw67M3DSdGQOgIkL0CbzkdCdPP&fccid=c39ca13fd1488f82&cmp=MSC-Munich-Strategy-Consulting-GmbH&ti=Back+End+Developer&vjs=3,Active 2 days ago
Flutter Developer,Subhx Infotech OPC Private Limited,"₹35,000 - ₹60,000 a month",Remote,Not specified,/rc/clk?jk=116b318bc5d596f8&bb=1WleVgRJwzEjRBo9Ed8V8lWC49PraLdnRh4GMHIYtSHhTBNyGC1cDrfj9SW8J-GAwE8Qu2sFLjhe9KuXVFuz7qkOsB4siFLEBRKXEkQ2yQM%3D&xkcb=SoBt67M3DSdGQOgIkL0BbzkdCdPP&fccid=43b721f1ac3008b1&cmp=Subhx-Infotech-OPC-Private-Limited&ti=Developer&vjs=3,Today
